vehicle_id,lane,frame,timestamp_sec
1045,1,5945,198.167
1120,3,5949,198.3
1080,1,5997,199.9
1130,1,5998,199.933
1139,1,6036,201.2
1111,1,6040,201.333
1108,1,6047,201.567
1027,2,6050,201.667
1126,1,6079,202.633
1154,1,6079,202.633
1114,1,6108,203.6
1076,2,6157,205.233
1134,1,6179,205.967
1087,1,6190,206.333
1157,1,6226,207.533
1150,2,6244,208.133
1137,1,6265,208.833
1171,1,6307,210.233
1209,1,6321,210.7
1155,1,6323,210.767
1211,3,6334,211.133
1208,1,6362,212.067
1185,1,6364,212.133
1191,1,6373,212.433
1229,3,6389,212.967
1195,1,6419,213.967
1207,1,6440,214.667
1221,1,6452,215.067
1249,1,6452,215.067
1196,2,6485,216.167
1224,1,6487,216.233
1255,1,6487,216.233
1222,1,6492,216.4
1248,1,6492,216.4
1257,2,6498,216.6
1231,1,6537,217.9
1236,1,6580,219.333
1270,3,6590,219.667
1247,2,6610,220.333
1258,2,6613,220.433
1266,2,6682,222.733
1287,2,6683,222.767
1264,1,6765,225.5
1319,3,6841,228.033
1204,2,6853,228.433
1299,1,6895,229.833
1334,1,6903,230.1
1340,2,6916,230.533
1291,2,6933,231.1
1302,1,6956,231.867
1305,2,7035,234.5
1346,1,7052,235.067
1320,2,7117,237.233
1351,1,7129,237.633
1360,1,7129,237.633
1361,1,7129,237.633
1355,1,7196,239.867
1364,1,7263,242.1
1366,1,7281,242.7
1376,1,7287,242.9
1342,2,7296,243.2
1377,3,7306,243.533
1371,1,7342,244.733
1389,3,7372,245.733
1398,1,7380,246.0
1388,1,7426,247.533
1404,3,7437,247.9
1385,1,7443,248.1
1412,1,7443,248.1
1399,1,7517,250.567
1407,1,7554,251.8
1430,1,7578,252.6
1410,1,7579,252.633
1438,1,7604,253.467
1425,1,7605,253.5
1419,1,7609,253.633
1384,2,7616,253.867
1350,2,7626,254.2
1441,3,7634,254.467
1429,1,7650,255.0
1416,1,7664,255.467
1455,1,7665,255.5
1439,1,7719,257.3
1372,2,7734,257.8
1466,1,7760,258.667
1472,1,7778,259.267
1459,1,7839,261.3
1467,1,7878,262.6
1502,1,7906,263.533
1504,1,7906,263.533
1499,3,7916,263.867
1461,2,7928,264.267
1484,1,7928,264.267
1477,1,7944,264.8
1470,1,7945,264.833
1488,1,7965,265.5
1468,2,8006,266.867
1492,1,8006,266.867
1525,2,8009,266.967
1524,1,8010,267.0
1514,1,8027,267.567
1530,1,8027,267.567
1516,1,8066,268.867
1539,1,8070,269.0
1507,1,8071,269.033
1556,2,8095,269.833
1493,2,8098,269.933
1569,1,8153,271.767
1528,1,8154,271.8
1555,1,8188,272.933
1576,1,8190,273.0
1519,2,8193,273.1
1577,2,8193,273.1
1563,2,8211,273.7
1567,1,8212,273.733
1568,1,8245,274.833
1596,1,8279,275.967
1578,1,8280,276.0
1585,1,8333,277.767
1588,1,8363,278.767
1620,1,8370,279.0
1627,1,8391,279.7
1619,1,8392,279.733
1622,2,8403,280.1
1617,1,8404,280.133
1589,2,8415,280.5
1594,2,8456,281.867
1641,1,8463,282.1
1610,1,8474,282.467
1661,1,8503,283.433
1653,1,8507,283.567
1611,1,8508,283.6
1658,2,8510,283.667
1603,2,8523,284.1
1650,1,8546,284.867
1668,1,8563,285.433
1632,1,8565,285.5
1659,2,8580,286.0
1669,2,8580,286.0
1662,1,8618,287.267
1670,2,8644,288.133
1680,2,8649,288.3
1665,1,8657,288.567
1666,1,8663,288.767
1690,1,8664,288.8
1677,2,8689,289.633
1703,2,8776,292.533
1701,3,8785,292.833
1696,1,8801,293.367
1711,1,8801,293.367
1704,1,8817,293.9
1697,1,8825,294.167
1715,1,8827,294.233
1698,1,8877,295.9
1675,2,8889,296.3
1718,1,8914,297.133
1725,1,8957,298.567
1734,1,9014,300.467
1733,1,9036,301.2
1784,1,9037,301.233
1794,1,9051,301.7
1748,1,9052,301.733
1788,3,9064,302.133
1722,2,9079,302.633
1733,2,9089,302.967
1767,1,9170,305.667
1798,1,9171,305.7
1810,3,9182,306.067
