vehicle_id,lane,frame,timestamp_sec
3,1,18,0.6
4,1,44,1.467
13,1,44,1.467
10,3,64,2.133
15,1,65,2.167
20,1,65,2.167
2,2,78,2.6
6,1,104,3.467
14,2,142,4.733
27,1,153,5.1
40,1,200,6.667
30,1,221,7.367
31,1,253,8.433
34,1,277,9.233
24,2,287,9.567
68,2,287,9.567
39,1,291,9.7
66,1,291,9.7
74,1,338,11.267
33,2,339,11.3
45,1,342,11.4
49,1,343,11.433
71,2,356,11.867
52,1,367,12.233
76,1,378,12.6
80,1,378,12.6
59,1,380,12.667
42,2,390,13.0
91,1,414,13.8
62,1,423,14.1
63,2,442,14.733
70,1,463,15.433
97,1,539,17.967
113,1,539,17.967
98,1,599,19.967
119,1,603,20.1
107,1,605,20.167
114,1,646,21.533
115,1,669,22.3
135,1,669,22.3
106,2,686,22.867
127,1,739,24.633
143,1,739,24.633
117,2,750,25.0
133,1,803,26.767
166,1,823,27.433
131,1,824,27.467
144,1,840,28.0
175,3,863,28.767
153,1,900,30.0
161,1,964,32.133
195,3,1002,33.4
210,3,1060,35.333
214,1,1073,35.767
146,1,1075,35.833
177,2,1076,35.867
162,1,1131,37.7
223,1,1156,38.533
216,1,1213,40.433
238,3,1215,40.5
180,1,1217,40.567
242,1,1285,42.833
194,1,1301,43.367
222,1,1362,45.4
245,1,1383,46.1
263,3,1412,47.067
282,1,1452,48.4
303,1,1452,48.4
298,3,1475,49.167
254,1,1477,49.233
251,1,1519,50.633
315,1,1519,50.633
323,3,1552,51.733
258,1,1555,51.833
324,3,1605,53.5
260,1,1612,53.733
314,1,1617,53.9
147,2,1644,54.8
320,1,1677,55.9
308,2,1710,57.0
344,1,1718,57.267
319,1,1726,57.533
332,1,1772,59.067
189,2,1774,59.133
349,2,1780,59.333
337,1,1832,61.067
364,2,1854,61.8
352,1,1929,64.3
369,2,1930,64.333
383,2,2009,66.967
373,1,2018,67.267
416,2,2062,68.733
367,2,2063,68.767
393,1,2085,69.5
368,1,2100,70.0
380,2,2108,70.267
409,2,2111,70.367
391,2,2159,71.967
384,1,2160,72.0
426,1,2162,72.067
436,1,2169,72.3
394,2,2217,73.9
376,1,2249,74.967
410,1,2253,75.1
433,1,2258,75.267
401,2,2273,75.767
463,1,2301,76.7
423,1,2303,76.767
465,1,2308,76.933
385,1,2312,77.067
421,1,2367,78.9
446,1,2443,81.433
489,1,2474,82.467
467,2,2484,82.8
490,2,2503,83.433
471,1,2508,83.6
470,1,2517,83.9
501,1,2519,83.967
474,2,2542,84.733
477,1,2556,85.2
508,1,2560,85.333
478,2,2597,86.567
479,2,2643,88.1
513,2,2643,88.1
497,1,2663,88.767
520,1,2693,89.767
507,1,2700,90.0
512,1,2709,90.3
515,1,2763,92.1
525,1,2766,92.2
534,1,2799,93.3
532,1,2845,94.833
541,1,2845,94.833
537,1,2916,97.2
542,1,2952,98.4
544,1,2969,98.967
559,1,2969,98.967
539,1,3000,100.0
553,1,3000,100.0
555,1,3060,102.0
572,1,3060,102.0
582,1,3104,103.467
549,2,3116,103.867
580,1,3165,105.5
570,1,3182,106.067
586,1,3194,106.467
568,2,3200,106.667
590,1,3217,107.233
587,1,3248,108.267
567,2,3265,108.833
588,1,3280,109.333
600,1,3306,110.2
617,3,3342,111.4
607,1,3344,111.467
585,2,3360,112.0
594,2,3424,114.133
610,1,3427,114.233
634,1,3444,114.8
625,1,3467,115.567
650,3,3514,117.133
643,1,3518,117.267
631,1,3519,117.3
637,1,3566,118.867
641,1,3575,119.167
652,1,3635,121.167
654,1,3644,121.467
667,3,3666,122.2
633,2,3681,122.7
659,1,3748,124.933
674,1,3748,124.933
697,1,3890,129.667
669,1,3892,129.733
673,2,3913,130.433
683,1,3923,130.767
679,1,3926,130.867
710,1,3926,130.867
709,1,3936,131.2
684,1,3955,131.833
687,1,3971,132.367
685,2,4035,134.5
699,1,4063,135.433
727,1,4082,136.067
714,1,4119,137.3
726,1,4137,137.9
735,1,4166,138.867
745,3,4168,138.933
740,3,4169,138.967
729,1,4172,139.067
731,1,4190,139.667
725,1,4209,140.3
736,2,4218,140.6
757,3,4229,140.967
732,1,4242,141.4
743,1,4253,141.767
756,3,4256,141.867
764,3,4259,141.967
747,1,4272,142.4
770,1,4273,142.433
775,3,4281,142.7
746,1,4290,143.0
750,1,4307,143.567
748,1,4321,144.033
751,1,4344,144.8
797,1,4344,144.8
758,1,4367,145.567
801,1,4367,145.567
789,1,4438,147.933
808,1,4439,147.967
814,3,4439,147.967
785,2,4447,148.233
820,1,4463,148.767
805,1,4506,150.2
719,2,4536,151.2
739,2,4614,153.8
831,2,4615,153.833
821,1,4622,154.067
839,1,4661,155.367
826,1,4671,155.7
813,1,4678,155.933
862,1,4724,157.467
830,1,4725,157.5
859,3,4742,158.067
835,1,4753,158.433
840,2,4790,159.667
832,2,4791,159.7
843,1,4798,159.933
844,1,4814,160.467
885,3,4814,160.467
889,1,4829,160.967
858,1,4830,161.0
863,1,4848,161.6
897,1,4849,161.633
865,1,4887,162.9
882,1,4925,164.167
910,1,4929,164.3
886,1,4939,164.633
919,1,4943,164.767
767,2,4964,165.467
893,2,4964,165.467
902,1,5004,166.8
896,1,5013,167.1
909,1,5057,168.567
914,1,5085,169.5
945,3,5085,169.5
941,2,5110,170.333
913,1,5118,170.6
948,1,5118,170.6
929,1,5120,170.667
961,2,5177,172.567
944,1,5182,172.733
934,2,5183,172.767
963,1,5189,172.967
907,2,5237,174.567
954,1,5251,175.033
960,1,5251,175.033
926,2,5326,177.533
970,1,5339,177.967
974,1,5406,180.2
1001,3,5406,180.2
964,2,5426,180.867
1003,2,5426,180.867
1005,1,5450,181.667
978,1,5469,182.3
994,1,5526,184.2
1036,1,5569,185.633
1012,1,5570,185.667
1031,2,5573,185.767
959,1,5609,186.967
975,2,5632,187.733
1030,1,5634,187.8
1048,1,5636,187.867
1039,1,5678,189.267
976,1,5693,189.767
1059,3,5707,190.233
1047,1,5743,191.433
1025,1,5769,192.3
1070,1,5769,192.3
980,1,5824,194.133
1092,1,5853,195.1
1068,1,5854,195.133
1085,3,5859,195.3
1081,1,5906,196.867
1104,3,5908,196.933
1117,2,5941,198.033
1046,2,5942,198.067
1083,1,5942,198.067
1118,1,5943,198.1
